SKU code,Barcode,Product Name,Price,Customer Discounted Price
SKU-133994-3MMYFF9CJF,,Captain Jack - Café Rum (120ml),650.0,585.0
SKU-133994-DQQHMBPMPV,,Captain Jack - Cafe Rum 75cl,4400.0,3960.0
EX-fa1adb4c,,Captain Morgan - Original (70cl) ,10000.0,9000.0
EX-b5c976a7,,Carlo Rossi - California Red Wine (75cl),12500.0,11250.0
EX-2ad1b34f,,Carlo Rossi - Sweet Red Wine (75cl),12500.0,11250.0
EX-9b4f1d4d,,Carolina Herrera - 212 Men Nyc Eau De Toilette Natural Spray (100ml) ,10000.0,9000.0
EX-4a45a0ad,,Chairman - Paris Eau De Parfum (100ml) Perfume ,15000.0,13500.0
SKU-133994-YTVVJGPFB3,,Charm - Heavy Hold Starch Green Apple Scent (567g),3750.0,3375.0
SKU-133994-E818PTA85M,,Charm - Regular Starch Extra Crisp Finish (567g),3750.0,3375.0
SKU-133994-AYW9RZ5K1E,,Checkers - Custard Pap Chocolate Flavour Akamu Ogi Koko Jar (400g),3500.0,3150.0
SKU-133994-BP53RKW24X,,Checkers - Custard Pap Flavour Akamu Ogi Koko Jar (400g),3500.0,3150.0
SKU-133994-VA49737NNF,,Chesterfield - Mint Burst Cigarettes Tobacco ,2000.0,1800.0
SKU-133994-1VC2XMZMR3,,Chimex - Certified Pure Honey Bottle (500ml) ,4400.0,3960.0
EX-1fdadab2,,Chivas Regal -  12yrs (70cl),45000.0,40500.0
EX-6a167795,,Chivas Regal -  18yrs (70cl) ,110000.0,99000.0
CSV-2c7238b5,,Chivita - Active Zest (1L),2650.0,2385.0
CSV-baf7b625,,Chivita - Apple (1L),2650.0,2385.0
CSV-59a17f35,,Chivita - Exotic Pineapple & Coconut Juice (1L),2600.0,2340.0
SKU-133994-5ABTZB559G,,Chivita - Ice Tea Juice Lemon (1L),2500.0,2250.0
CSV-958cf068,,Chivita - Orange (1L),2650.0,2385.0
CSV-618745cd,,Chivita - Red Grape Juice (1L),2600.0,2340.0
CSV-518278cb,,Chivita Exotic - Pineapple & Coconut (500ml) ,1050.0,945.0
SKU-133994-UNLSJ2535D,,Cicada - Rolling Papers,1000.0,900.0
EX-a8a540cc,,Ciroc - Blue (1L),50000.0,45000.0
EX-8e319c49,,Ciroc - Pineapple (1L),75000.0,67500.0
EX-89b12133,,Ciroc - Red Berry (1L),75000.0,67500.0
SKU-133994-B3G827QLEF,,Cleanmax Sparkle - Moisturing Anti-Bacterial Hand Wash Spring Flavor (500ml),1600.0,1440.0
CSV-df4b1c7f,,Coca Cola - Coke Soda Drink (50cl),600.0,540.0
SKU-133994-NTUUAAAU39,,Coco Samba - Milk & Chocolate (100ml),750.0,675.0
CSV-efbfb7ad,,Coke Can 33cl,800.0,720.0
RM-a32456ab,,Colgate - Advanced White (75ml),3000.0,2700.0
RM-9f076b53,,Colgate - Anti-Tartar + whitening (100ml) ,5000.0,4500.0
RM-5e7a59fe,,Colgate - Charcoal (120g),2250.0,2025.0
RM-9c2b775b,,Colgate - Charcoal (35g),1000.0,900.0
RM-b4d16d42,,Colgate - Deep Clean Whitening (125ml) ,3130.0,2817.0
RM-62d70db4,,Colgate - Herbal (140g),1000.0,900.0
SKU-133994-YLFP32ZNJ7,,Colgate - Maximum Cavity Protection  (100ml),2500.0,2250.0
RM-d39a5e81,,Colgate - Maximum Cavity Protection (130g),2300.0,2070.0
RM-4e731fe3,,Colgate - MaxWhite (100ml),3200.0,2880.0
RM-8f37e916,,Colgate - Total Advanced Whitening (75ml) ,2900.0,2610.0
SKU-133994-QU69EUR57T,,Colgate - Triple Action  (140g),2500.0,2250.0
SKU-133994-UGZSVC9ZWW,,Cookies Supreme - Purple Maryland Chocolate Biscuits + Oreos (Oreo Cookie) + 4 Vanilla Super 2 Biscuit,6000.0,5400.0
SKU-133994-GUMSZQGSQ9,,Costa - Mediterranean Sea Salt Coarse For Table & Cooking (750g),5000.0,4500.0
SKU-133994-Z8M9VRSUJE,,Costa - Mediterranean Sea Salt Fine For Table & Cooking (750g),5000.0,4500.0
RM-8165dd30,,Cowbell - Chocolate Milk (400g),4300.0,3870.0
SKU-133994-RW559CY217,,Cowbell Milk - Sachet (30g),220.0,198.0
RM-85d70bd5,,Cowbell Milk - Sachet (320g),4400.0,3960.0
SKU-133994-RA2P4T9418,,Cowbell Milk - Sachet (750g),10000.0,9000.0
RM-3ad0d4b2,,Cowbell Milk - Tin Can (380g) ,6000.0,5400.0
SKU-133994-37KMEXZYTU,,Crown - Premium Spaghetti (500g) ,1400.0,1260.0
SKU-133994-ETP6YMX86X,,Cussons - baby soft & smooth baby oil (200ml) ,2880.0,2592.0
RM-d632d8fe,,Cussons - mild & gentle oil (200ml) ,2500.0,2250.0
SKU-133994-PJMDU9KUBF,,Cway - 12 Pack of Bottled Water (75cl),3800.0,3420.0
SKU-133994-S9RRRZF6S2,,Cway - Nutri Choco Chocolate Malt Milk Drink (400ml),1200.0,1080.0
SKU-133994-FPCA2SR86D,,Cway Water (75cl),340.0,306.0
RM-a1f6fb16,,Dabur - Herbal (140g),1700.0,1530.0
SKU-133994-DFY5D82YMS,,Dangote - Sugar Refined Granulated White Sugar (250g),900.0,810.0
SKU-133994-RJJ3EGWJJR,,Dangote - Sugar Refined Granulated White Sugar (500g),1800.0,1620.0
SKU-133994-4NRRN3XLDV,,Dano - Cool Cow Milk (320g),4300.0,3870.0
SKU-133994-PM3SWM8XWU,,Dano - Cool Cow Milk (750g),9400.0,8460.0
SKU-133994-URR3PQB25A,,Dano - Full Cream Milk Powder  (350g),6000.0,5400.0
SKU-133994-AX6ARQXAGU,,Dano - Full Cream Milk Powder  (800g),13000.0,11700.0
SKU-133994-ZPDFB8F4TP,,Declan Red Wine,11000.0,9900.0
RM-dec2c870,,Desmond’s - Whole Grain Biscuit Crackers (200g) Cracker Biscuits,3200.0,2880.0
